service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
ADZBAQCM75332016080120160801,1,0,0,0,0,0,0,20160801,20160801
ADZBAQCM75332016080320160820,0,0,1,0,0,1,0,20160803,20160820
ADZBAQCM75332016082220160831,1,0,1,0,0,1,0,20160822,20160831
ADZBAQCM75332016090320161029,1,0,1,0,0,1,0,20160903,20161029
ADZBAQCM75332016120320170802,1,0,1,0,0,1,0,20161203,20170802
ADZBAQCM75332016103120161130,1,0,1,0,0,1,0,20161031,20161130
ADZBOGCM75432016080320170802,0,0,1,0,0,1,0,20160803,20170802
ADZBOGCM75452016110720170130,1,0,0,0,0,0,0,20161107,20170130
ADZBOGCM75452016080120160815,1,0,0,1,0,0,0,20160801,20160815
ADZBOGCM75452016082220161031,1,0,0,0,0,0,0,20160822,20161031
ADZBOGCM75452017020620170802,1,0,0,0,0,0,0,20170206,20170802
ADZCLOCM74652016090320160928,1,0,1,0,0,1,0,20160903,20160928
ADZCLOCM74652016080120160831,1,0,1,0,0,1,0,20160801,20160831
ADZCLOCM74652016100120161130,1,0,1,0,0,1,0,20161001,20161130
ADZCLOCM74652017020620170802,1,0,1,0,0,1,0,20170206,20170802
ADZCLOCM74652016120320170204,1,0,1,0,0,1,0,20161203,20170204
ADZCTGCM73772016120120170205,1,1,1,1,1,1,1,20161201,20170205
ADZCTGCM73772016080120160831,1,1,1,1,1,1,1,20160801,20160831
ADZCTGCM73772017020620170802,1,1,1,1,1,1,1,20170206,20170802
ADZCTGCM73772016090120161004,1,1,0,1,0,1,1,20160901,20161004
ADZCTGCM73772016100520161130,1,1,1,1,1,1,1,20161005,20161130
ADZPEICM75632016080420160815,1,0,0,1,0,0,0,20160804,20160815
ADZPTYCM5012016080120160831,1,1,1,1,1,1,1,20160801,20160831
ADZPTYCM5012016090120161004,1,1,0,1,0,1,1,20160901,20161004
ADZPTYCM5012016100520161130,1,1,1,1,1,1,1,20161005,20161130
ADZPTYCM6112016120120170802,1,1,1,1,1,1,1,20161201,20170802
ASUPTYCM2062017032620170802,1,1,1,1,1,1,1,20170326,20170802
ASUPTYCM2062016080120161001,1,1,1,1,1,1,1,20160801,20161001
ASUPTYCM2062017020620170325,1,1,1,1,1,1,1,20170206,20170325
ASUPTYCM2062016100220161130,1,1,1,1,1,1,1,20161002,20161130
ASUPTYCM2062016120120170205,1,1,1,1,1,1,1,20161201,20170205
ASUPTYCM2902016080120161001,1,1,1,1,1,1,1,20160801,20161001
ASUPTYCM2902017032620170802,1,1,1,1,1,1,1,20170326,20170802
