route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
ADZBAQCM,CM,ADZBAQ,Gustavo Rojas Pinilla - Ernesto Cortissoz,,1102,,,
ADZBOGCM,CM,ADZBOG,Gustavo Rojas Pinilla - Eldorado Intl,,1102,,,
ADZCLOCM,CM,ADZCLO,Gustavo Rojas Pinilla - Alfonso Bonilla Aragon Intl,,1102,,,
ADZCTGCM,CM,ADZCTG,Gustavo Rojas Pinilla - Rafael Nunez,,1102,,,
ADZPEICM,CM,ADZPEI,Gustavo Rojas Pinilla - Matecana,,1102,,,
ADZPTYCM,CM,ADZPTY,Gustavo Rojas Pinilla - Tocumen Intl,,1102,,,
ASUPTYCM,CM,ASUPTY,Silvio Pettirossi Intl - Tocumen Intl,,1102,,,
AUAPTYCM,CM,AUAPTY,Reina Beatrix Intl - Tocumen Intl,,1102,,,
BAQADZCM,CM,BAQADZ,Ernesto Cortissoz - Gustavo Rojas Pinilla,,1102,,,
BAQPTYCM,CM,BAQPTY,Ernesto Cortissoz - Tocumen Intl,,1102,,,
BGAPTYCM,CM,BGAPTY,Palonegro - Tocumen Intl,,1102,,,
BOGADZCM,CM,BOGADZ,Eldorado Intl - Gustavo Rojas Pinilla,,1102,,,
BOGCCSCM,CM,BOGCCS,Eldorado Intl - Simon Bolivar Intl,,1102,,,
BOGCUNCM,CM,BOGCUN,Eldorado Intl - Cancun Intl,,1102,,,
BOGHAVCM,CM,BOGHAV,Eldorado Intl - Jose Marti Intl,,1102,,,
BOGMEXCM,CM,BOGMEX,Eldorado Intl - Licenciado Benito Juarez Intl,,1102,,,
BOGPTYCM,CM,BOGPTY,Eldorado Intl - Tocumen Intl,,1102,,,
BOGPUJCM,CM,BOGPUJ,Eldorado Intl - Punta Cana Intl,,1102,,,
BOGUIOCM,CM,BOGUIO,Eldorado Intl - Mariscal Sucre Intl,,1102,,,
BOSPTYCM,CM,BOSPTY,General Edward Lawrence Logan Intl - Tocumen Intl,,1102,,,
BSBPTYCM,CM,BSBPTY,Presidente Juscelino Kubitschek - Tocumen Intl,,1102,,,
BZEPTYCM,CM,BZEPTY,Philip S W Goldson Intl - Tocumen Intl,,1102,,,
CCSBOGCM,CM,CCSBOG,Simon Bolivar Intl - Eldorado Intl,,1102,,,
CCSPTYCM,CM,CCSPTY,Simon Bolivar Intl - Tocumen Intl,,1102,,,
CIXPTYCM,CM,CIXPTY,Capt Jose A Quinones Gonzales Intl - Tocumen Intl,,1102,,,
CLOADZCM,CM,CLOADZ,Alfonso Bonilla Aragon Intl - Gustavo Rojas Pinilla,,1102,,,
CLOPTYCM,CM,CLOPTY,Alfonso Bonilla Aragon Intl - Tocumen Intl,,1102,,,
CNFPTYCM,CM,CNFPTY,Tancredo Neves Intl - Tocumen Intl,,1102,,,
CORPTYCM,CM,CORPTY,Ambrosio L V Taravella - Tocumen Intl,,1102,,,
CTGADZCM,CM,CTGADZ,Rafael Nunez - Gustavo Rojas Pinilla,,1102,,,
CTGPTYCM,CM,CTGPTY,Rafael Nunez - Tocumen Intl,,1102,,,
CUCPTYCM,CM,CUCPTY,Camilo Daza - Tocumen Intl,,1102,,,
CUNBOGCM,CM,CUNBOG,Cancun Intl - Eldorado Intl,,1102,,,
CUNPTYCM,CM,CUNPTY,Cancun Intl - Tocumen Intl,,1102,,,
CURPTYCM,CM,CURPTY,Hato - Tocumen Intl,,1102,,,
DAVPTYCM,CM,DAVPTY,Enrique Malek Intl - Tocumen Intl,,1102,,,
EWRPTYCM,CM,EWRPTY,Newark Liberty Intl - Tocumen Intl,,1102,,,
EZEPTYCM,CM,EZEPTY,Ministro Pistarini - Tocumen Intl,,1102,,,
FLLPTYCM,CM,FLLPTY,Fort Lauderdale Hollywood Intl - Tocumen Intl,,1102,,,
GDLPTYCM,CM,GDLPTY,Don Miguel Hidalgo Y Costilla Intl - Tocumen Intl,,1102,,,
GEOPTYCM,CM,GEOPTY,Cheddi Jagan Intl - Tocumen Intl,,1102,,,
GIGPTYCM,CM,GIGPTY,Galeao Antonio Carlos Jobim - Tocumen Intl,,1102,,,
GRUPTYCM,CM,GRUPTY,Guarulhos Gov Andre Franco Montouro - Tocumen Intl,,1102,,,
GUAMGACM,CM,GUAMGA,La Aurora - Managua Intl,,1102,,,
GUAPTYCM,CM,GUAPTY,La Aurora - Tocumen Intl,,1102,,,
GUASJOCM,CM,GUASJO,La Aurora - Juan Santamaria Intl,,1102,,,
GYEPTYCM,CM,GYEPTY,Jose Joaquin De Olmedo Intl - Tocumen Intl,,1102,,,
HAVBOGCM,CM,HAVBOG,Jose Marti Intl - Eldorado Intl,,1102,,,
HAVPTYCM,CM,HAVPTY,Jose Marti Intl - Tocumen Intl,,1102,,,
HOGPTYCM,CM,HOGPTY,Frank Pais Intl - Tocumen Intl,,1102,,,
IADPTYCM,CM,IADPTY,Washington Dulles Intl - Tocumen Intl,,1102,,,
IAHPTYCM,CM,IAHPTY,George Bush Intcntl Houston - Tocumen Intl,,1102,,,
JFKPTYCM,CM,JFKPTY,John F Kennedy Intl - Tocumen Intl,,1102,,,
KINPTYCM,CM,KINPTY,Norman Manley Intl - Tocumen Intl,,1102,,,
LASPTYCM,CM,LASPTY,Mc Carran Intl - Tocumen Intl,,1102,,,
LAXPTYCM,CM,LAXPTY,Los Angeles Intl - Tocumen Intl,,1102,,,
LIMPTYCM,CM,LIMPTY,Jorge Chavez Intl - Tocumen Intl,,1102,,,
LIRPTYCM,CM,LIRPTY,Daniel Oduber Quiros Intl - Tocumen Intl,,1102,,,
MAOPTYCM,CM,MAOPTY,Eduardo Gomes Intl - Tocumen Intl,,1102,,,
MARPTYCM,CM,MARPTY,La Chinita Intl - Tocumen Intl,,1102,,,
MBJPTYCM,CM,MBJPTY,Sangster Intl - Tocumen Intl,,1102,,,
MCOPTYCM,CM,MCOPTY,Orlando Intl - Tocumen Intl,,1102,,,
MDEPTYCM,CM,MDEPTY,Jose Maria Cordova - Tocumen Intl,,1102,,,
MEXBOGCM,CM,MEXBOG,Licenciado Benito Juarez Intl - Eldorado Intl,,1102,,,
MEXPTYCM,CM,MEXPTY,Licenciado Benito Juarez Intl - Tocumen Intl,,1102,,,
MGAGUACM,CM,MGAGUA,Managua Intl - La Aurora,,1102,,,
MGAPTYCM,CM,MGAPTY,Managua Intl - Tocumen Intl,,1102,,,
MGASJOCM,CM,MGASJO,Managua Intl - Juan Santamaria Intl,,1102,,,
MIAPTYCM,CM,MIAPTY,Miami Intl - Tocumen Intl,,1102,,,
MSYPTYCM,CM,MSYPTY,Louis Armstrong New Orleans Intl - Tocumen Intl,,1102,,,
MTYPTYCM,CM,MTYPTY,General Mariano Escobedo Intl - Tocumen Intl,,1102,,,
MVDPTYCM,CM,MVDPTY,Carrasco Intl - Tocumen Intl,,1102,,,
NASPTYCM,CM,NASPTY,Lynden Pindling Intl - Tocumen Intl,,1102,,,
ORDPTYCM,CM,ORDPTY,Chicago Ohare Intl - Tocumen Intl,,1102,,,
PAPPTYCM,CM,PAPPTY,Toussaint Louverture Intl - Tocumen Intl,,1102,,,
