trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
ADZBAQCM75332016080120160801,14:37:00,14:37:00,ADZ,0,,0,0,,
ADZBAQCM75332016080120160801,16:03:00,16:03:00,BAQ,2,,0,0,,
ADZBAQCM75332016080320160820,14:37:00,14:37:00,ADZ,0,,0,0,,
ADZBAQCM75332016080320160820,16:12:00,16:12:00,BAQ,2,,0,0,,
ADZBAQCM75332016082220160831,14:37:00,14:37:00,ADZ,0,,0,0,,
ADZBAQCM75332016082220160831,16:12:00,16:12:00,BAQ,2,,0,0,,
ADZBAQCM75332016090320161029,14:39:00,14:39:00,ADZ,0,,0,0,,
ADZBAQCM75332016090320161029,16:14:00,16:14:00,BAQ,2,,0,0,,
ADZBAQCM75332016120320170802,14:40:00,14:40:00,ADZ,0,,0,0,,
ADZBAQCM75332016120320170802,16:09:00,16:09:00,BAQ,2,,0,0,,
ADZBAQCM75332016103120161130,14:40:00,14:40:00,ADZ,0,,0,0,,
ADZBAQCM75332016103120161130,16:15:00,16:15:00,BAQ,2,,0,0,,
ADZBOGCM75432016080320170802,18:57:00,18:57:00,ADZ,0,,0,0,,
ADZBOGCM75432016080320170802,21:07:00,21:07:00,BOG,2,,0,0,,
ADZBOGCM75452016110720170130,19:50:00,19:50:00,ADZ,0,,0,0,,
ADZBOGCM75452016110720170130,22:00:00,22:00:00,BOG,2,,0,0,,
ADZBOGCM75452016080120160815,19:57:00,19:57:00,ADZ,0,,0,0,,
ADZBOGCM75452016080120160815,22:07:00,22:07:00,BOG,2,,0,0,,
ADZBOGCM75452016082220161031,19:57:00,19:57:00,ADZ,0,,0,0,,
ADZBOGCM75452016082220161031,22:07:00,22:07:00,BOG,2,,0,0,,
ADZBOGCM75452017020620170802,19:57:00,19:57:00,ADZ,0,,0,0,,
ADZBOGCM75452017020620170802,22:07:00,22:07:00,BOG,2,,0,0,,
ADZCLOCM74652016090320160928,11:53:00,11:53:00,ADZ,0,,0,0,,
ADZCLOCM74652016090320160928,14:02:00,14:02:00,CLO,2,,0,0,,
ADZCLOCM74652016080120160831,11:59:00,11:59:00,ADZ,0,,0,0,,
ADZCLOCM74652016080120160831,14:08:00,14:08:00,CLO,2,,0,0,,
ADZCLOCM74652016100120161130,11:59:00,11:59:00,ADZ,0,,0,0,,
ADZCLOCM74652016100120161130,14:08:00,14:08:00,CLO,2,,0,0,,
ADZCLOCM74652017020620170802,12:01:00,12:01:00,ADZ,0,,0,0,,
ADZCLOCM74652017020620170802,14:02:00,14:02:00,CLO,2,,0,0,,
ADZCLOCM74652016120320170204,12:01:00,12:01:00,ADZ,0,,0,0,,
ADZCLOCM74652016120320170204,14:10:00,14:10:00,CLO,2,,0,0,,
ADZCTGCM73772016120120170205,13:45:00,13:45:00,ADZ,0,,0,0,,
ADZCTGCM73772016120120170205,15:14:00,15:14:00,CTG,2,,0,0,,
