route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
ADZBAQCM,ADZBAQCM75332016080120160801,ADZBAQCM75332016080120160801,Ernesto Cortissoz,CM7533,,,,1,
ADZBAQCM,ADZBAQCM75332016080320160820,ADZBAQCM75332016080320160820,Ernesto Cortissoz,CM7533,,,,1,
ADZBAQCM,ADZBAQCM75332016082220160831,ADZBAQCM75332016082220160831,Ernesto Cortissoz,CM7533,,,,1,
ADZBAQCM,ADZBAQCM75332016090320161029,ADZBAQCM75332016090320161029,Ernesto Cortissoz,CM7533,,,,1,
ADZBAQCM,ADZBAQCM75332016120320170802,ADZBAQCM75332016120320170802,Ernesto Cortissoz,CM7533,,,,1,
ADZBAQCM,ADZBAQCM75332016103120161130,ADZBAQCM75332016103120161130,Ernesto Cortissoz,CM7533,,,,1,
ADZBOGCM,ADZBOGCM75432016080320170802,ADZBOGCM75432016080320170802,Eldorado Intl,CM7543,,,,1,
ADZBOGCM,ADZBOGCM75452016110720170130,ADZBOGCM75452016110720170130,Eldorado Intl,CM7545,,,,1,
ADZBOGCM,ADZBOGCM75452016080120160815,ADZBOGCM75452016080120160815,Eldorado Intl,CM7545,,,,1,
ADZBOGCM,ADZBOGCM75452016082220161031,ADZBOGCM75452016082220161031,Eldorado Intl,CM7545,,,,1,
ADZBOGCM,ADZBOGCM75452017020620170802,ADZBOGCM75452017020620170802,Eldorado Intl,CM7545,,,,1,
ADZCLOCM,ADZCLOCM74652016090320160928,ADZCLOCM74652016090320160928,Alfonso Bonilla Aragon Intl,CM7465,,,,1,
ADZCLOCM,ADZCLOCM74652016080120160831,ADZCLOCM74652016080120160831,Alfonso Bonilla Aragon Intl,CM7465,,,,1,
ADZCLOCM,ADZCLOCM74652016100120161130,ADZCLOCM74652016100120161130,Alfonso Bonilla Aragon Intl,CM7465,,,,1,
ADZCLOCM,ADZCLOCM74652017020620170802,ADZCLOCM74652017020620170802,Alfonso Bonilla Aragon Intl,CM7465,,,,1,
ADZCLOCM,ADZCLOCM74652016120320170204,ADZCLOCM74652016120320170204,Alfonso Bonilla Aragon Intl,CM7465,,,,1,
ADZCTGCM,ADZCTGCM73772016120120170205,ADZCTGCM73772016120120170205,Rafael Nunez,CM7377,,,,1,
ADZCTGCM,ADZCTGCM73772016080120160831,ADZCTGCM73772016080120160831,Rafael Nunez,CM7377,,,,1,
ADZCTGCM,ADZCTGCM73772017020620170802,ADZCTGCM73772017020620170802,Rafael Nunez,CM7377,,,,1,
ADZCTGCM,ADZCTGCM73772016090120161004,ADZCTGCM73772016090120161004,Rafael Nunez,CM7377,,,,1,
ADZCTGCM,ADZCTGCM73772016100520161130,ADZCTGCM73772016100520161130,Rafael Nunez,CM7377,,,,1,
ADZPEICM,ADZPEICM75632016080420160815,ADZPEICM75632016080420160815,Matecana,CM7563,,,,1,
ADZPTYCM,ADZPTYCM5012016080120160831,ADZPTYCM5012016080120160831,Tocumen Intl,CM501,,,,1,
ADZPTYCM,ADZPTYCM5012016090120161004,ADZPTYCM5012016090120161004,Tocumen Intl,CM501,,,,1,
ADZPTYCM,ADZPTYCM5012016100520161130,ADZPTYCM5012016100520161130,Tocumen Intl,CM501,,,,1,
ADZPTYCM,ADZPTYCM6112016120120170802,ADZPTYCM6112016120120170802,Tocumen Intl,CM611,,,,1,
ASUPTYCM,ASUPTYCM2062017032620170802,ASUPTYCM2062017032620170802,Tocumen Intl,CM206,,,,1,
ASUPTYCM,ASUPTYCM2062016080120161001,ASUPTYCM2062016080120161001,Tocumen Intl,CM206,,,,1,
ASUPTYCM,ASUPTYCM2062017020620170325,ASUPTYCM2062017020620170325,Tocumen Intl,CM206,,,,1,
ASUPTYCM,ASUPTYCM2062016100220161130,ASUPTYCM2062016100220161130,Tocumen Intl,CM206,,,,1,
ASUPTYCM,ASUPTYCM2062016120120170205,ASUPTYCM2062016120120170205,Tocumen Intl,CM206,,,,1,
ASUPTYCM,ASUPTYCM2902016080120161001,ASUPTYCM2902016080120161001,Tocumen Intl,CM290,,,,1,
ASUPTYCM,ASUPTYCM2902017032620170802,ASUPTYCM2902017032620170802,Tocumen Intl,CM290,,,,1,
ASUPTYCM,ASUPTYCM2902016100220161130,ASUPTYCM2902016100220161130,Tocumen Intl,CM290,,,,1,
ASUPTYCM,ASUPTYCM2902016120120170205,ASUPTYCM2902016120120170205,Tocumen Intl,CM290,,,,1,
ASUPTYCM,ASUPTYCM2902017020620170325,ASUPTYCM2902017020620170325,Tocumen Intl,CM290,,,,1,
AUAPTYCM,AUAPTYCM3492016090120161031,AUAPTYCM3492016090120161031,Tocumen Intl,CM349,,,,1,
AUAPTYCM,AUAPTYCM3492016110120161130,AUAPTYCM3492016110120161130,Tocumen Intl,CM349,,,,1,
AUAPTYCM,AUAPTYCM3492016080120160831,AUAPTYCM3492016080120160831,Tocumen Intl,CM349,,,,1,
AUAPTYCM,AUAPTYCM3492016120120170205,AUAPTYCM3492016120120170205,Tocumen Intl,CM349,,,,1,
AUAPTYCM,AUAPTYCM3492017020620170802,AUAPTYCM3492017020620170802,Tocumen Intl,CM349,,,,1,
AUAPTYCM,AUAPTYCM5052016120120170205,AUAPTYCM5052016120120170205,Tocumen Intl,CM505,,,,1,
AUAPTYCM,AUAPTYCM5052017020620170802,AUAPTYCM5052017020620170802,Tocumen Intl,CM505,,,,1,
